steps,time,reward,delta,converged
1,0.0006390000000067175,254.1,100.0,False
2,0.0006199999999978445,300.61,10.0,False
3,0.0005979999999965457,308.39199999999994,1.0,False
4,0.0006009999999889715,309.4833,0.10000000000000142,False
5,0.0006620000000054915,309.62374000000005,0.010000000000005116,False
6,0.0006860000000017408,309.64091500000006,0.0010000000000047748,False
7,0.0007180000000062137,309.64294559999996,0.00010000000000021103,False
8,0.0006849999999758438,309.64317997,1.0000000003174137e-05,False
9,0.0006329999999934444,309.643206538,1.0000000010279564e-06,True
